expid,count,exp,start_second,alpha,use_data_perc,accuracy,time
346,8,1.375,70,0.010,0.330,0.8243116688518449,12779
347,8,1.4,70,0.010,0.330,0.849585843373494,10561
348,8,1.425,70,0.010,0.330,0.8201811125485123,10626
349,8,1.45,70,0.010,0.330,0.8282392649540596,10811
350,8,1.5,70,0.010,0.330,0.7936333699231614,11554
351,8,1.7,70,0.010,0.330,0.732309380142622,10508
352,8,1.85,70,0.010,0.330,0.7607709750566893,10734
353,16,1.02,70,0.010,0.330,0.8515552244365804,23174
354,16,1.05,70,0.010,0.330,0.8468655589123867,21794
355,16,1.1,70,0.010,0.330,0.8123937275647081,28072
356,16,1.2,70,0.010,0.330,0.815410199556541,20771
357,16,1.3,70,0.010,0.330,0.6927678085916259,18874
358,16,1.35,70,0.010,0.330,0.7302063789868668,15834
359,16,1.375,70,0.010,0.330,0.7164124241867303,16192
360,28,1.02,70,0.010,0.330,0.850517439632043,32053
361,28,1.05,70,0.010,0.330,0.813953488372093,30101
362,28,1.1,70,0.010,0.330,0.8230507191521574,32928
363,28,1.2,70,0.010,0.330,0.7330848089468779,23103
364,48,1.02,70,0.010,0.330,0.8273931703676058,54367
365,48,1.05,70,0.010,0.330,0.791504359117047,48436
366,48,1.1,70,0.010,0.330,0.6756349952963311,38212
367,8,1.02,10,0.010,0.500,0.8166068555871798,11850
368,8,1.05,10,0.010,0.500,0.8320620078740157,18191
369,8,1.1,10,0.010,0.500,0.827826725403818,15324
370,8,1.2,10,0.010,0.500,0.8097513169177998,14986
371,8,1.3,10,0.010,0.500,0.8322773015281402,12628
372,8,1.35,10,0.010,0.500,0.8320798915053631,14103
373,8,1.375,10,0.010,0.500,0.8328646533806089,22060
374,8,1.4,10,0.010,0.500,0.8414151410192974,13889
375,8,1.425,10,0.010,0.500,0.845182642804609,13850
376,8,1.45,10,0.010,0.500,0.8328622342386629,31042
377,8,1.5,10,0.010,0.500,0.8475230271346776,14853
378,8,1.7,10,0.010,0.500,0.8159970421493714,29029
379,8,1.85,10,0.010,0.500,0.8602779809802488,17519
380,8,2.0,10,0.010,0.500,0.8081733746130031,24443
381,8,2.2,10,0.010,0.500,0.8270907527938106,20707
382,8,2.4,10,0.010,0.500,0.750615763546798,16302
383,16,1.02,10,0.010,0.500,0.8266389940178245,28015
384,16,1.05,10,0.010,0.500,0.8202054794520548,47422
385,16,1.1,10,0.010,0.500,0.825704006947029,40253
386,16,1.2,10,0.010,0.500,0.8633663366336634,32878
387,16,1.3,10,0.010,0.500,0.814684037501522,57851
388,16,1.35,10,0.010,0.500,0.8503851709195955,39910
389,16,1.375,10,0.010,0.500,0.8274717166748647,30034
390,16,1.4,10,0.010,0.500,0.8136463683052091,30714
391,16,1.425,10,0.010,0.500,0.7492714910150559,29808
392,16,1.45,10,0.010,0.500,0.83109243697479,28544
393,16,1.5,10,0.010,0.500,0.7811297330850403,28871
394,28,1.02,10,0.010,0.500,0.8456881640721522,51435
395,28,1.05,10,0.010,0.500,0.8152834635901253,45612
396,28,1.1,10,0.010,0.500,0.8561576354679803,52908
397,28,1.2,10,0.010,0.500,0.8426785493254115,44220
398,48,1.02,10,0.010,0.500,0.8287671232876712,82189
399,48,1.05,10,0.010,0.500,0.8392127738581507,64314
400,48,1.1,10,0.010,0.500,0.8280044101433297,73341
401,8,1.02,20,0.010,0.500,0.8118920233463035,15563
402,8,1.05,20,0.010,0.500,0.8216442746209787,14970
403,8,1.1,20,0.010,0.500,0.8218249075215783,14725
404,8,1.2,20,0.010,0.500,0.8363592350520455,23624
405,8,1.3,20,0.010,0.500,0.8339673579580317,13471
406,8,1.35,20,0.010,0.500,0.8554114652769361,32600
407,8,1.375,20,0.010,0.500,0.8528228264845751,14658
408,8,1.4,20,0.010,0.500,0.8343711083437111,45922
409,8,1.425,20,0.010,0.500,0.8637038871007675,17909
410,8,1.45,20,0.010,0.500,0.8447105295642513,20873
411,8,1.5,20,0.010,0.500,0.8072646404744255,46261
412,8,1.7,20,0.010,0.500,0.8607191066388514,35565
413,8,1.85,20,0.010,0.500,0.7866716306775875,22445
414,8,2.0,20,0.010,0.500,0.7839423194427472,14359
415,8,2.2,20,0.010,0.500,0.7394568890001252,13978
416,16,1.02,20,0.010,0.500,0.8291845493562232,35715
417,16,1.05,20,0.010,0.500,0.81984007996002,39307
418,16,1.1,20,0.010,0.500,0.8289048919791407,34012
419,16,1.2,20,0.010,0.500,0.8133711607252991,36105
420,16,1.3,20,0.010,0.500,0.879243875139908,34472
421,16,1.35,20,0.010,0.500,0.8533433697152176,29279
422,16,1.375,20,0.010,0.500,0.7328859060402685,30680
423,16,1.4,20,0.010,0.500,0.7589274681823799,24983
424,16,1.425,20,0.010,0.500,0.7987044732339281,26864
425,16,1.45,20,0.010,0.500,0.7709175548205317,24769
426,28,1.02,20,0.010,0.500,0.8286891204264599,48578
427,28,1.05,20,0.010,0.500,0.8451862602806,53522
428,28,1.1,20,0.010,0.500,0.8020549641000247,48348
429,28,1.2,20,0.010,0.500,0.8274485339987523,36389
430,48,1.02,20,0.010,0.500,0.8119955296162921,71121
431,48,1.05,20,0.010,0.500,0.8067530525791179,85020
432,48,1.1,20,0.010,0.500,0.790751870477125,61097
433,8,1.02,45,0.010,0.500,0.8253307202351788,14509
434,8,1.05,45,0.010,0.500,0.8170323540349572,13760
435,8,1.1,45,0.010,0.500,0.8206087824351297,13833
436,8,1.2,45,0.010,0.500,0.8563836361389198,13472
437,8,1.3,45,0.010,0.500,0.8384404583956153,40307
438,8,1.35,45,0.010,0.500,0.8239462886982469,23898
439,8,1.375,45,0.010,0.500,0.8022585000613723,15168
440,8,1.4,45,0.010,0.500,0.8058759257011048,15574
441,8,1.425,45,0.010,0.500,0.8466691024235782,16323
442,8,1.45,45,0.010,0.500,0.8224333662388944,21534
443,8,1.5,45,0.010,0.500,0.8463059056090931,15172
444,8,1.7,45,0.010,0.500,0.7785705498831345,20542
445,8,1.85,45,0.010,0.500,0.8133463462242284,15013
446,8,2.0,45,0.010,0.500,0.6978765677387309,13094
447,16,1.02,45,0.010,0.500,0.8346873461349089,30097
448,16,1.05,45,0.010,0.500,0.843142144638404,33431
449,16,1.1,45,0.010,0.500,0.8505775680039747,35569
450,16,1.2,45,0.010,0.500,0.8331686836255866,34446
451,16,1.3,45,0.010,0.500,0.7151169988857249,25460
452,16,1.35,45,0.010,0.500,0.7780082987551867,28102
453,16,1.375,45,0.010,0.500,0.7804028848545138,22633
454,16,1.4,45,0.010,0.500,0.7731018981018981,24053
455,28,1.02,45,0.010,0.500,0.8224402207234826,42223
456,28,1.05,45,0.010,0.500,0.8386693346673336,50296
457,28,1.1,45,0.010,0.500,0.7804066543438077,49359
458,28,1.2,45,0.010,0.500,0.6737020863658418,39490
459,48,1.02,45,0.010,0.500,0.8602480658234066,77871
460,48,1.05,45,0.010,0.500,0.7660201325804076,78671
461,48,1.1,45,0.010,0.500,0.7332414484400451,58412
